,finalist,variable,value
471,Luxx Noir London_US_15_REG,3,2.0
472,Mistress Isabelle Brookes_US_15_REG,3,3.0
473,Sasha Colby_US_15_REG,3,2.0
474,Athena Sorgelikis_BEL_1_REG,3,2.0
475,Drag Couenne_BEL_1_REG,3,2.0
476,Susan_BEL_1_REG,3,5.0
477,Admira Thunderpussy_SWE_1_REG,3,2.0
478,Fontana_SWE_1_REG,3,1.0
479,Vanity Vain_SWE_1_REG,3,5.0
480,Chad Michaels_US_1_AS,4,5.0
481,Raven_US_1_AS,4,0.0
482,Jujubee_US_1_AS,4,0.0
483,Shannel_US_1_AS,4,5.0
484,Alaska_US_2_AS,4,5.0
485,Detox_US_2_AS,4,2.0
486,Katya_US_2_AS,4,0.0
487,Roxxxy Andrews_US_2_AS,4,0.0
488,Trixie Mattel_US_3_AS,4,0.0
489,Kennedy Davenport_US_3_AS,4,0.0
490,BeBe Zahara Benet_US_3_AS,4,2.0
491,Shangela_US_3_AS,4,5.0
492,Monet X Change_US_4_AS,4,0.0
493,Trinity the Tuck_US_4_AS,4,1.0
494,Monique Heart_US_4_AS,4,5.0
495,Naomi Smalls_US_4_AS,4,2.0
496,Jujubee_US_5_AS,4,3.0
497,Shea Coulee_US_5_AS,4,2.0
498,Miz Cracker_US_5_AS,4,5.0
499,Priyanka_CAN_1_REG,4,2.0
500,Rita Baga_CAN_1_REG,4,5.0
501,Scarlett BoBo_CAN_1_REG,4,3.0
502,Envy Peru_HOL_1_REG,4,5.0
503,Janey Jacke_HOL_1_REG,4,3.0
504,Ma'Ma Queen_HOL_1_REG,4,0.0
505,Miss Abby OMG_HOL_1_REG,4,0.0
506,Natalia Pilacam_THI_1_REG,4,0.5
507,Annee Maywong_THI_1_REG,4,1.0
508,Dearis Doll_THI_1_REG,4,4.0
509,The Vivienne_UK_1_REG,4,5.0
510,Divina de Campo_UK_1_REG,4,1.0
511,Baga Chipz_UK_1_REG,4,5.0
512,Bebe Zahara Benet_US_1_REG,4,3.0
513,Nina Flowers_US_1_REG,4,3.0
514,Rebbeca Glasscock_US_1_REG,4,0.0
515,Aquaria_US_10_REG,4,5.0
516,Eureka_US_10_REG,4,2.0
517,Kameron Michaels_US_10_REG,4,3.0
518,Asia O'Hara_US_10_REG,4,1.0
519,Yvie Oddly_US_11_REG,4,3.0
520,Brooke Lynn Hytes_US_11_REG,4,3.0
521,A'keria Davenport_US_11_REG,4,2.0
522,Silky Nutmeg Ganache_US_11_REG,4,5.0
523,Jaida Essence Hall_US_12_REG,4,3.0
524,Crystal Methyd_US_12_REG,4,2.0
525,Gigi Goode_US_12_REG,4,5.0
526,Symone_US_13_REG,4,5.0
527,Kandy Muse_US_13_REG,4,3.0
528,Gottmik_US_13_REG,4,2.0
529,Rose_US_13_REG,4,3.0
530,Angele Anang_THI_2_REG,4,4.0
531,Kana Warrior_THI_2_REG,4,0.0
532,Kandy Zyanide_THI_2_REG,4,0.0
533,Lawrence Chaney_UK_2_REG,4,5.0
534,Bimini Bon Boulash_UK_2_REG,4,3.0
535,Tayce_UK_2_REG,4,2.0
536,Ellie Diamond_UK_2_REG,4,2.0
537,Tyra Sanchez_US_2_REG,4,2.0
538,Raven_US_2_REG,4,2.0
539,Jujubee_US_2_REG,4,1.0
540,Raja_US_3_REG,4,2.0
541,Manila Luzon_US_3_REG,4,5.0
542,Alexis Mateo_US_3_REG,4,2.0
543,Sharon Needles_US_4_REG,4,2.0
544,Chad Michaels_US_4_REG,4,3.0
545,Phi Phi O'Hara_US_4_REG,4,3.0
546,Jinkx Monsoon_US_5_REG,4,3.0
547,Alaska_US_5_REG,4,2.0
548,Roxxxy Andrews_US_5_REG,4,1.0
549,Bianca Del Rio_US_6_REG,4,2.0
550,Adore Delano_US_6_REG,4,3.0
551,Courtney Act_US_6_REG,4,5.0
552,Violet Chachki_US_7_REG,4,2.0
553,Ginger Minj_US_7_REG,4,2.0
554,Pearl_US_7_REG,4,0.0
555,Bob the Drag Queen_US_8_REG,4,2.0
556,Kim Chi_US_8_REG,4,3.0
557,Naomi Smalls_US_8_REG,4,3.0
558,Sasha Velour_US_9_REG,4,5.0
559,Peppermint_US_9_REG,4,1.0
560,Shea Coulee_US_9_REG,4,5.0
561,Trinity the Tuck_US_9_REG,4,0.0
562,Kita Mean_AUS_1_REG,4,2.0
563,Art Simone_AUS_1_REG,4,3.0
564,Karen from Finance_AUS_1_REG,4,0.0
565,Scarlet Adams_AUS_1_REG,4,5.0
566,Carmen Farala_ESP_1_REG,4,1.0
567,Killer Queen_ESP_1_REG,4,5.0
568,Sagittaria_ESP_1_REG,4,3.0
569,Pupi Poisson_ESP_1_REG,4,3.0
570,Kylie Sonique Love_US_6_AS,4,2.0
571,Ginger Minj_US_6_AS,4,1.0
572,Ra'jah O'Hara_US_6_AS,4,2.0
573,Eureka_US_6_AS,4,3.0
574,Vanessa Van Cartier_HOL_2_REG,4,1.0
575,My Little Puny_HOL_2_REG,4,5.0
576,Vivaldi_HOL_2_REG,4,2.0
577,Ella Vaday_UK_3_REG,4,5.0
578,Kitty Scott-Claus_UK_3_REG,4,2.0
579,Krystal Versace_UK_3_REG,4,2.0
